Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;,;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #49;CPU Package10;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 22:53:43;10.15625;37.5;4.6875;9.375;15,4;78;77;79;81;81;2016.00232;2620.803;2016.00232;3427.20386;11.1502237;8.179564;0.7810394;0;100.800117;60.2341652;9.481461;6.25954056
09/30/2023 22:53:48;19.3292389;23.4375;5.46875;6.287205;13,6;77;76;77;77;77;1512.00293;1814.40344;2016.00391;2419.20459;10.0569563;6.848692;0.7176074;0;100.800194;60.255394;9.484802;6.256199
09/30/2023 22:53:53;17.1875;15.625;3.125;5.396634;10,3;78;76;78;78;78;1310.3999;1512;1915.2;2015.99988;11.15358;8.124469;0.7148572;0;100.799995;60.2459641;9.483318;6.257683
09/30/2023 22:53:58;33.59375;2.34375;0;0.7692337;9,2;80;77;79;78;80;1814.40173;2520.00244;2217.60229;2318.40234;10.33642;7.01988459;0.687996566;0;100.8001;60.2685051;9.486866;6.254135
09/30/2023 22:54:03;3.90625;1.5625;25.78125;5.555558;9,2;82;82;84;91;91;2822.40161;2923.20166;2217.60132;3225.60181;12.0472736;8.791558;0.7941874;0;100.800056;60.2683334;9.486839;6.254162
09/30/2023 22:54:08;3.076923;26.5625;0;0.78125;7,6;82;79;81;84;83;1915.19946;1814.39954;1915.19946;2419.19922;11.4700441;7.8458004;0.6997885;0;100.799973;60.21805;9.478924;6.26207733
09/30/2023 22:54:13;19.53125;6.25;3.125;0.78125;7,4;80;80;81;86;86;1411.20044;2217.60083;2016.00073;2016.00073;11.048274;7.80728531;0.714889467;0;100.800034;60.17215;9.471699;6.26930237
09/30/2023 22:54:18;12.562;25.78125;3.90625;4.6875;11,7;80;80;80;87;87;2016.00183;1915.20178;1310.40125;1814.40161;10.1052284;7.038655;0.6550221;0;100.800095;60.18819;9.474224;6.266777
09/30/2023 22:54:23;30.46875;7.911706;3.125;2.2964;11,0;78;77;79;79;79;2016.00183;2520.0022;2923.20264;2822.40259;10.6948977;7.6191;0.7227382;0;100.800095;60.24112;9.482555;6.25844574
09/30/2023 22:54:28;18.4615364;33.9903831;18.4615364;16.1538486;21,8;80;81;82;83;83;1713.60132;2217.60181;2520.002;2016.00159;12.1112947;8.759544;0.7476748;0;100.800079;60.3977432;9.50721;6.23379135
09/30/2023 22:54:33;7.88690472;28.07765;5.46875;3.125;11,1;79;77;81;86;85;3427.2002;2923.2002;2016.00012;1713.6001;9.459694;6.28171873;0.645913363;0;100.8;60.40046;9.507637;6.233364
09/30/2023 22:54:38;18.2415657;2.321601;12.5;7.8125;10,2;79;79;80;78;80;2217.60254;3225.60352;2620.803;3427.20386;10.5224476;7.24853754;0.665688336;0;100.80011;60.37029;9.502888;6.2381134
09/30/2023 22:54:43;17.2743073;10.8413458;32.8993073;13.3680582;18,6;85;79;85;84;85;2318.40283;2822.40332;2217.60278;3124.80371;12.3306131;8.838746;0.7099044;0;100.800125;59.51085;9.367603;6.373398
09/30/2023 22:54:48;31.25;0.78125;0;2.40655541;8,6;79;79;81;83;83;2217.60181;3326.40259;2923.20215;2217.60181;10.4387369;7.068471;0.672725141;0;100.800079;59.5844231;9.379185;6.36181641
09/30/2023 22:54:53;13.28125;16.1538486;5.432689;4.724705;9,9;77;75;78;77;78;1411.20044;1512.00049;1310.40039;1512.00049;9.150895;6.01639938;0.5903173;0;100.800034;59.57061;9.37701;6.363991
09/30/2023 22:54:58;18.2054939;10.15625;1.5625;3.90625;8,5;75;76;77;78;78;1411.20166;1411.20166;1411.20166;1411.20166;9.978238;6.7605114;0.6426467;0;100.800117;59.57027;9.376957;6.364044
09/30/2023 22:55:03;10.15625;25.3966331;3.10096145;3.8461566;10,6;78;78;81;79;80;2016.00171;3427.203;2923.20239;2016.00171;10.2689533;7.02219963;0.7048411;0;100.800087;59.5700531;9.376923;6.36407852
09/30/2023 22:55:08;2.38095522;29.36508;3.174603;0.78125;8,9;80;78;81;81;81;3326.4104;1512.00476;1713.60535;2016.00635;11.5160294;8.384735;0.707587659;0;100.800316;59.6485939;9.389286;6.351715
09/30/2023 22:55:13;6.31200075;7.7524066;21.875;6.40040636;10,6;89;88;85;99;99;2923.202;2016.00134;1411.20093;1512.0011;14.6255312;11.3749371;0.763125956;0;100.800072;59.6105957;9.383305;6.35769653
09/30/2023 22:55:18;21.875;24.21875;16.2860565;13.28125;18,9;94;87;88;88;91;1915.20129;3427.20215;3024.002;3427.20215;13.5685339;10.2295284;0.729199052;0;100.800064;59.6397972;9.387901;6.3531
09/30/2023 22:55:23;25.7808514;1.53846145;1.53846145;13.0769253;10,5;80;75;81;77;81;1511.998;1511.998;1713.5979;3124.79614;10.12174;7.049895;0.728172064;0;100.799873;59.6340332;9.386993;6.35400772
