idMonitoramento;dadoCapturado;tipoDeDado;dtHora;nomeComponente
109;3438665625;bytes;30/09/2023 22:00;CPU
112;34387203125;bytes;30/09/2023 22:00;CPU
115;34387609375;bytes;30/09/2023 22:00;CPU
118;34388625;bytes;30/09/2023 22:00;CPU
121;3438953125;bytes;30/09/2023 22:00;CPU
124;343905625;bytes;30/09/2023 22:00;CPU
127;34391109375;bytes;30/09/2023 22:00;CPU
130;343915;bytes;30/09/2023 22:00;CPU
133;3439196875;bytes;30/09/2023 22:00;CPU
136;34392765625;bytes;30/09/2023 22:00;CPU
139;343935;bytes;30/09/2023 22:00;CPU
142;34394359375;bytes;30/09/2023 22:00;CPU
145;34395546875;bytes;30/09/2023 22:00;CPU
148;34396;bytes;30/09/2023 22:00;CPU
151;34396515625;bytes;30/09/2023 22:00;CPU
154;3439728125;bytes;30/09/2023 22:00;CPU
157;34397734375;bytes;30/09/2023 22:00;CPU
160;34398265625;bytes;30/09/2023 22:00;CPU
163;3439878125;bytes;30/09/2023 22:00;CPU
166;34399203125;bytes;30/09/2023 22:01;CPU
169;34400890625;bytes;30/09/2023 22:01;CPU
172;344044375;bytes;30/09/2023 22:01;CPU
175;34408953125;bytes;30/09/2023 22:01;CPU
178;34411203125;bytes;30/09/2023 22:01;CPU
181;3441403125;bytes;30/09/2023 22:01;CPU
184;3441625;bytes;30/09/2023 22:01;CPU
187;34417921875;bytes;30/09/2023 22:01;CPU
190;3441996875;bytes;30/09/2023 22:01;CPU
193;3442209375;bytes;30/09/2023 22:01;CPU
196;34424359375;bytes;30/09/2023 22:01;CPU
199;344260625;bytes;30/09/2023 22:01;CPU
202;3442771875;bytes;30/09/2023 22:01;CPU
205;344301875;bytes;30/09/2023 22:01;CPU
208;34431;bytes;30/09/2023 22:01;CPU
211;34431984375;bytes;30/09/2023 22:01;CPU
214;3443259375;bytes;30/09/2023 22:01;CPU
217;344333125;bytes;30/09/2023 22:01;CPU
220;34435296875;bytes;30/09/2023 22:01;CPU
223;344370625;bytes;30/09/2023 22:01;CPU
226;3443934375;bytes;30/09/2023 22:01;CPU
229;3444175;bytes;30/09/2023 22:01;CPU
232;34443359375;bytes;30/09/2023 22:01;CPU
235;3444515625;bytes;30/09/2023 22:01;CPU
238;34447703125;bytes;30/09/2023 22:01;CPU
241;34449515625;bytes;30/09/2023 22:01;CPU
244;34451375;bytes;30/09/2023 22:01;CPU
247;344531875;bytes;30/09/2023 22:01;CPU
250;34455875;bytes;30/09/2023 22:02;CPU
253;3445778125;bytes;30/09/2023 22:02;CPU
256;34459546875;bytes;30/09/2023 22:02;CPU
259;34461796875;bytes;30/09/2023 22:02;CPU
262;3446478125;bytes;30/09/2023 22:02;CPU
265;34467046875;bytes;30/09/2023 22:02;CPU
268;3446915625;bytes;30/09/2023 22:02;CPU
271;3447146875;bytes;30/09/2023 22:02;CPU
274;34473234375;bytes;30/09/2023 22:02;CPU
277;34474859375;bytes;30/09/2023 22:02;CPU
280;34476734375;bytes;30/09/2023 22:02;CPU
283;3447815625;bytes;30/09/2023 22:02;CPU
286;34479953125;bytes;30/09/2023 22:02;CPU
289;3448165625;bytes;30/09/2023 22:02;CPU
292;34484421875;bytes;30/09/2023 22:02;CPU
295;34485859375;bytes;30/09/2023 22:02;CPU
298;34487359375;bytes;30/09/2023 22:02;CPU
301;34489921875;bytes;30/09/2023 22:02;CPU
304;34491796875;bytes;30/09/2023 22:02;CPU
307;3449396875;bytes;30/09/2023 22:02;CPU
310;344955625;bytes;30/09/2023 22:02;CPU
313;34497875;bytes;30/09/2023 22:02;CPU
316;34499984375;bytes;30/09/2023 22:02;CPU
319;34502984375;bytes;30/09/2023 22:02;CPU
322;34503953125;bytes;30/09/2023 22:02;CPU
325;3450590625;bytes;30/09/2023 22:02;CPU
328;34507234375;bytes;30/09/2023 22:02;CPU
331;34508515625;bytes;30/09/2023 22:02;CPU
334;34510515625;bytes;30/09/2023 22:03;CPU
337;34511578125;bytes;30/09/2023 22:03;CPU
340;34512890625;bytes;30/09/2023 22:03;CPU
343;34514125;bytes;30/09/2023 22:03;CPU
346;34515234375;bytes;30/09/2023 22:03;CPU
349;345163125;bytes;30/09/2023 22:03;CPU
352;3451765625;bytes;30/09/2023 22:03;CPU
355;345190625;bytes;30/09/2023 22:03;CPU
358;34521296875;bytes;30/09/2023 22:03;CPU
361;345221875;bytes;30/09/2023 22:03;CPU
364;3452334375;bytes;30/09/2023 22:03;CPU
367;34525421875;bytes;30/09/2023 22:03;CPU
370;345271875;bytes;30/09/2023 22:03;CPU
373;3452925;bytes;30/09/2023 22:03;CPU
376;34531703125;bytes;30/09/2023 22:03;CPU
379;34532671875;bytes;30/09/2023 22:03;CPU
382;3453359375;bytes;30/09/2023 22:03;CPU
385;3453459375;bytes;30/09/2023 22:03;CPU
388;34535921875;bytes;30/09/2023 22:03;CPU
391;34537390625;bytes;30/09/2023 22:03;CPU
394;34538375;bytes;30/09/2023 22:03;CPU
397;3454059375;bytes;30/09/2023 22:03;CPU
400;34541390625;bytes;30/09/2023 22:03;CPU
403;3454246875;bytes;30/09/2023 22:03;CPU
406;34544015625;bytes;30/09/2023 22:03;CPU
409;34545390625;bytes;30/09/2023 22:03;CPU
412;34546578125;bytes;30/09/2023 22:03;CPU
415;34547765625;bytes;30/09/2023 22:04;CPU
418;34549140625;bytes;30/09/2023 22:04;CPU
421;34550203125;bytes;30/09/2023 22:04;CPU
424;34552828125;bytes;30/09/2023 22:04;CPU
427;3455403125;bytes;30/09/2023 22:04;CPU
430;345564375;bytes;30/09/2023 22:04;CPU
433;3455734375;bytes;30/09/2023 22:04;CPU
436;34559078125;bytes;30/09/2023 22:04;CPU
439;3456075;bytes;30/09/2023 22:04;CPU
442;34562515625;bytes;30/09/2023 22:04;CPU
445;34564234375;bytes;30/09/2023 22:04;CPU
448;3456559375;bytes;30/09/2023 22:04;CPU
451;345668125;bytes;30/09/2023 22:04;CPU
454;34568015625;bytes;30/09/2023 22:04;CPU
457;345691875;bytes;30/09/2023 22:04;CPU
460;345704375;bytes;30/09/2023 22:04;CPU
463;3457215625;bytes;30/09/2023 22:04;CPU
466;3457390625;bytes;30/09/2023 22:04;CPU
469;34576609375;bytes;30/09/2023 22:04;CPU
472;3457784375;bytes;30/09/2023 22:04;CPU
475;34579390625;bytes;30/09/2023 22:04;CPU
478;34579953125;bytes;30/09/2023 22:04;CPU
481;3458075;bytes;30/09/2023 22:04;CPU
484;34583421875;bytes;30/09/2023 22:04;CPU
487;345875625;bytes;30/09/2023 22:04;CPU
490;34589328125;bytes;30/09/2023 22:04;CPU
493;34591140625;bytes;30/09/2023 22:04;CPU
496;34593140625;bytes;30/09/2023 22:05;CPU
499;34595734375;bytes;30/09/2023 22:05;CPU
502;345973125;bytes;30/09/2023 22:05;CPU
505;34599078125;bytes;30/09/2023 22:05;CPU
508;3460071875;bytes;30/09/2023 22:05;CPU
511;346024375;bytes;30/09/2023 22:05;CPU
514;34603984375;bytes;30/09/2023 22:05;CPU
517;346055;bytes;30/09/2023 22:05;CPU
520;34606984375;bytes;30/09/2023 22:05;CPU
523;3460865625;bytes;30/09/2023 22:05;CPU
526;3461025;bytes;30/09/2023 22:05;CPU
529;34611890625;bytes;30/09/2023 22:05;CPU
