idMonitoramento,dadoCapturado,tipoDeDado,dtHora,nomeComponente
100,4731418.140624999,bytes,"2023-09-30 22:51:34",CPU
103,4731455.749999999,bytes,"2023-09-30 22:51:39",CPU
106,4731492.406249999,bytes,"2023-09-30 22:51:44",CPU
109,4731531.874999999,bytes,"2023-09-30 22:51:50",CPU
112,4731571.343749999,bytes,"2023-09-30 22:51:55",CPU
115,4731610.593749999,bytes,"2023-09-30 22:52:00",CPU
118,4731649.468749999,bytes,"2023-09-30 22:52:05",CPU
121,4731688.359374999,bytes,"2023-09-30 22:52:10",CPU
124,4731727.203124999,bytes,"2023-09-30 22:52:15",CPU
127,4731766.03125,bytes,"2023-09-30 22:52:20",CPU
130,4731805.4375,bytes,"2023-09-30 22:52:25",CPU
133,4731843.484375,bytes,"2023-09-30 22:52:31",CPU
136,4731878.046875,bytes,"2023-09-30 22:52:36",CPU
139,4731913.265625,bytes,"2023-09-30 22:52:41",CPU
142,4731949.78125,bytes,"2023-09-30 22:52:46",CPU
145,4731983.8125,bytes,"2023-09-30 22:52:51",CPU
148,4732022.875,bytes,"2023-09-30 22:52:57",CPU
151,4732060.171875,bytes,"2023-09-30 22:53:02",CPU
154,4732095.765625,bytes,"2023-09-30 22:53:07",CPU
157,4732131.703125,bytes,"2023-09-30 22:53:12",CPU
160,4732166.515625,bytes,"2023-09-30 22:53:17",CPU
163,4732202.671875,bytes,"2023-09-30 22:53:23",CPU
166,4732238.40625,bytes,"2023-09-30 22:53:28",CPU
169,4732275.265625,bytes,"2023-09-30 22:53:33",CPU
172,4732310.84375,bytes,"2023-09-30 22:53:38",CPU
175,4732345.515625,bytes,"2023-09-30 22:53:43",CPU
178,4732381.984375,bytes,"2023-09-30 22:53:48",CPU
181,4732418.234375,bytes,"2023-09-30 22:53:53",CPU
184,4732454.03125,bytes,"2023-09-30 22:53:59",CPU
187,4732490.5625,bytes,"2023-09-30 22:54:04",CPU
190,4732526.078125,bytes,"2023-09-30 22:54:09",CPU
193,4732563.171875,bytes,"2023-09-30 22:54:14",CPU
196,4732599.640625,bytes,"2023-09-30 22:54:19",CPU
199,4732635.671875,bytes,"2023-09-30 22:54:24",CPU
202,4732669.984375,bytes,"2023-09-30 22:54:29",CPU
205,4732706.046875,bytes,"2023-09-30 22:54:34",CPU
208,4732742.546875,bytes,"2023-09-30 22:54:40",CPU
211,4732778.578125,bytes,"2023-09-30 22:54:45",CPU
214,4732814.296875,bytes,"2023-09-30 22:54:50",CPU
217,4732851.046875,bytes,"2023-09-30 22:54:55",CPU
220,4732887.5,bytes,"2023-09-30 22:55:00",CPU
223,4732924.71875,bytes,"2023-09-30 22:55:05",CPU
226,4732961.625,bytes,"2023-09-30 22:55:10",CPU
229,4732995.359375,bytes,"2023-09-30 22:55:16",CPU
232,4733030.390625,bytes,"2023-09-30 22:55:21",CPU
235,4733067.015625,bytes,"2023-09-30 22:55:26",CPU
238,4733103.1875,bytes,"2023-09-30 22:55:31",CPU
241,4733138.21875,bytes,"2023-09-30 22:55:36",CPU
244,4733175.3125,bytes,"2023-09-30 22:55:41",CPU
247,4733212.453125,bytes,"2023-09-30 22:55:46",CPU
250,4733247.53125,bytes,"2023-09-30 22:55:52",CPU
253,4733284.609375,bytes,"2023-09-30 22:55:57",CPU
256,4733318.171875,bytes,"2023-09-30 22:56:02",CPU
259,4733354.53125,bytes,"2023-09-30 22:56:07",CPU
262,4733391.21875,bytes,"2023-09-30 22:56:12",CPU
265,4733427.6875,bytes,"2023-09-30 22:56:17",CPU
268,4733464.25,bytes,"2023-09-30 22:56:22",CPU
271,4733500.125,bytes,"2023-09-30 22:56:28",CPU
274,4733536.890625,bytes,"2023-09-30 22:56:33",CPU
277,4733573.484375,bytes,"2023-09-30 22:56:38",CPU
280,4733609.265625,bytes,"2023-09-30 22:56:43",CPU
283,4733644.4375,bytes,"2023-09-30 22:56:48",CPU
286,4733681.65625,bytes,"2023-09-30 22:56:53",CPU
289,4733720.609375,bytes,"2023-09-30 22:56:59",CPU
292,4733760.171875,bytes,"2023-09-30 22:57:04",CPU
295,4733797.1875,bytes,"2023-09-30 22:57:09",CPU
298,4733837.21875,bytes,"2023-09-30 22:57:14",CPU
301,4733874.953125,bytes,"2023-09-30 22:57:20",CPU
304,4733909.875,bytes,"2023-09-30 22:57:25",CPU
307,4733946.21875,bytes,"2023-09-30 22:57:30",CPU
310,4733982.546875,bytes,"2023-09-30 22:57:35",CPU
313,4734017.828125,bytes,"2023-09-30 22:57:40",CPU
316,4734054.125,bytes,"2023-09-30 22:57:46",CPU
319,4734089.5625,bytes,"2023-09-30 22:57:51",CPU
322,4734127.125,bytes,"2023-09-30 22:57:56",CPU
325,4734160.828125,bytes,"2023-09-30 22:58:01",CPU
328,4734194.1875,bytes,"2023-09-30 22:58:06",CPU
331,4734229.8125,bytes,"2023-09-30 22:58:11",CPU
334,4734255.5,bytes,"2023-09-30 22:58:17",CPU
337,4734288.734375,bytes,"2023-09-30 22:58:22",CPU
340,4734322.375,bytes,"2023-09-30 22:58:27",CPU
343,4734359.187499999,bytes,"2023-09-30 22:58:32",CPU
346,4734395.499999999,bytes,"2023-09-30 22:58:37",CPU
349,4734431.468749999,bytes,"2023-09-30 22:58:42",CPU
352,4734467.062499999,bytes,"2023-09-30 22:58:47",CPU
355,4734502.921874999,bytes,"2023-09-30 22:58:53",CPU
358,4734539.281249999,bytes,"2023-09-30 22:58:58",CPU
361,4734575.874999999,bytes,"2023-09-30 22:59:03",CPU
364,4734611.593749999,bytes,"2023-09-30 22:59:08",CPU
367,4734648.187499999,bytes,"2023-09-30 22:59:13",CPU
370,4734685.187499999,bytes,"2023-09-30 22:59:18",CPU
373,4734722.937499999,bytes,"2023-09-30 22:59:24",CPU
376,4734759.812499999,bytes,"2023-09-30 22:59:29",CPU
379,4734796.015625,bytes,"2023-09-30 22:59:34",CPU
382,4734832.5,bytes,"2023-09-30 22:59:39",CPU
385,4734869.21875,bytes,"2023-09-30 22:59:44",CPU
388,4734905.875,bytes,"2023-09-30 22:59:49",CPU
391,4734939.9375,bytes,"2023-09-30 22:59:54",CPU
394,4734977.171875,bytes,"2023-09-30 23:00:00",CPU
397,4735012.140625,bytes,"2023-09-30 23:00:05",CPU
400,4735049.640625,bytes,"2023-09-30 23:00:10",CPU
403,4735085.75,bytes,"2023-09-30 23:00:15",CPU
406,4735123.125,bytes,"2023-09-30 23:00:20",CPU
409,4735158.390625,bytes,"2023-09-30 23:00:25",CPU
412,4735195.078125,bytes,"2023-09-30 23:00:30",CPU
415,4735230.28125,bytes,"2023-09-30 23:00:36",CPU
418,4735267.75,bytes,"2023-09-30 23:00:41",CPU
421,4735304.6875,bytes,"2023-09-30 23:00:46",CPU
424,4735339.671875,bytes,"2023-09-30 23:00:51",CPU
427,4735379.625,bytes,"2023-09-30 23:00:56",CPU
