idDados,fkDispositivo,data_hora,cpu_percentual,cpu_sistema,cpu_idle,cpu_interrupt,disco_percentual,disco_livre,disco_total,memoria_total,memoria_disponivel,memoria_usada,memoria_swap,rede_bytes_enviados,rede_bytes_recebidos,rede_erros_envio,rede_erros_recebimento
100,100,"2023-08-30 10:51:47",1.6,11564.9,1193.41,1193.41,23.00,376850000000,489272000000,16901800000,8573380000,8328390000,49.3,14319400,66315500,0,0
101,100,"2023-08-30 10:51:57",1.6,11564.9,1193.41,1193.41,23.00,376850000000,489272000000,16901800000,8573380000,8328390000,49.3,14319400,66315500,0,0
103,100,"2023-08-30 11:00:21",2.0,11645.5,1199.36,1199.36,23.00,376833000000,489272000000,16901800000,8079470000,8822300000,52.2,16791800,74334300,0,0
105,100,"2023-08-30 11:03:54",1.4,11664.9,1200.38,1200.38,23.00,376832000000,489272000000,16901800000,8354240000,8547530000,50.6,17251500,75481400,0,0
107,100,"2023-08-30 11:04:24",1.4,11664.9,1200.38,1200.38,23.00,376832000000,489272000000,16901800000,8354240000,8547530000,50.6,17251500,75481400,0,0
109,100,"2023-08-30 11:04:54",1.4,11664.9,1200.38,1200.38,23.00,376832000000,489272000000,16901800000,8354240000,8547530000,50.6,17251500,75481400,0,0
111,100,"2023-08-30 11:05:24",1.4,11664.9,1200.38,1200.38,23.00,376832000000,489272000000,16901800000,8354240000,8547530000,50.6,17251500,75481400,0,0
112,100,"2023-08-30 11:05:39",1.4,11664.9,1200.38,1200.38,23.00,376832000000,489272000000,16901800000,8354240000,8547530000,50.6,17251500,75481400,0,0
